topic,tweet,partisan_lean,human_label
Black Lives Matter,#BlackLivesMatter ride to #Ferguson has left me in awe. Didn't think I could feel more awake than I already was before coming.,LEFT,LEFT
Women’s Right,"Oh if you have Disney+ I really recommend the Pride documentary series. The episode on the 1970s is mainly about feminism and lesbians but also shows how the current anti-trans/queer discourse is EXACTLY the same as the anti-gay movement was then. Schools, kids, bathrooms.",LEFT,LEFT
Political Parties,"This was no mistake. This was a calculated dog-whistle to what Democrats believe are moderate Republicans, you know the same ones that got Hillary elec. uh

'This Is Unacceptable': Sanders Calls On Biden to Disavow Surrogate's Racist Attack on Nina Turner",CENTER,LEFT
Abortion,"Biden still seems to think the Republican Party’s fever might break. On Wednesday, he reportedly reached a “deal” with Mitch McConnell agreeing to support the nomination of an anti-abortion judge to the federal bench.",RIGHT,LEFT
Political Parties,Never thought I would live in a country where our media would do anything to destroy what took centuries to build. #DemocratsHateAmerica #DemocratsAreDestroyingAmerica,LEFT,RIGHT
Women’s Right,"2 B fair, I think STURGEONS SNP have proved 2 B not FIT 4 purpose, all she’s done since taking over is send powers back 2WM. Send innocent ppl 2jail, remove female born womens rights, & never once used any of the 7 mandates she’s been given. COWARDLY actions do NOT a leader make",RIGHT,RIGHT
Abortion,"BREAKING: Abortion services can resume in Utah! A Utah court just blocked the state's abortion ban, which took effect after the U.S. Supreme Court overturned Roe v. Wade. 
While this is a win, it's only the first step in the long fight ahead.",LEFT,LEFT
Capitol Hill Riot,"Mr. Trump, supporters who storm Capitol Hill,. Have been round up and faces charges. But how many BLM, rioters who burnt down there City been facing charges?",CENTER,RIGHT
Covid-19,.has deemed agriculture as critical infrastructure as we keep fighting #Covid_19. America’s Ag-producers are committed to ensuring we have the most abundant and stable food supply today and every day. #ThankAFarmer,LEFT,NEUTRAL
Black Lives Matter,"this country was never great. it was built by terrorizing minorities, ESPECIALLY innocent black people. they’re being murdered in broad daylight and ignorant racists still think there’s justification in our government’s actions. #BlackLivesMatter #ICantBreathe",LEFT,LEFT
Women’s Right,"Hey GOP Senators. Since you all just voted against a woman's right to choose under the guise of being pro-life, how about being pro-life for seniors who can't afford their medications?",MIXED,LEFT
Abortion,"I hope more companies follow 
 lead in stepping up to provide support and services to their female employees.

The way you defeat evil is by coming together to help your fellow humans in their time of need.

Next step, no more contributions to any anti abortion candidates!",LEFT,LEFT
Capitol Hill Riot,"Any positive momentum Trump enjoyed was erased post election. His refusal to concede, and his attempts to overturn the results, the Jan. 6 riots on Capitol Hill, a U.S. surge in coronavirus cases and deaths, and his second impeachment contributed to erosion in support for him.",CENTER,LEFT
Women’s Right,"This morning, the Supreme Court refused to block Texas’s dangerous abortion ban. If you’re feeling mad as hell right now, I’m there with you. Make no mistake: this is a further blow to abortion rights. We will not stand by. The Senate must pass the Women's Health Protection Act.",MIXED,LEFT
CHIPS and Science Act,Hyundai Motor Group Debuts at the 2022 World New Energy Vehicle Conference to Promote the High-Quality Development of China’s Hydrogen Energy Industry With “All-Round Hydrogen Energy Solutions”,LEFT,NEUTRAL
Women’s Right,"Removing barriers to reproductive care is essential, especially as the right to an abortion is under threat nationwide. 

Thank you to 
 for following the science. I will continue to push in the Senate to protect the reproductive freedom of women.",MIXED,LEFT
Mass Shootings,"The Economic Offences Wing of Delhi Police arrested a man for allegedly cheating a nationalised bank on the basis of forged loan documents to obtain crores of rupees

#Crime (
)",CENTER,NEUTRAL
Women’s Right,"When I see women's groups that say they are for equality but defend Amber Heard & block anyone who tries to show them evidence, it tells me that to them equality means having the right to beat on men.",RIGHT,RIGHT
Women’s Right,"The Senate has once again blocked the passage of the Women's Health Protection Act.

Make no mistake: I’ll keep fighting against any attempts to control and criminalize a woman's constitutional right to a safe, legal abortion. We must codify #RoeVWade—there's too much at stake.",MIXED,NEUTRAL
Capitol Hill Riot,"A losing game? How is millions in your campaign coffers, a base of voters and a Capitol Hill parking pass a losing game? #cnn #anderson #ac360 #trump #treason",MIXED,RIGHT
Inflation Reduction Act,"On August 16, 2022, President Joe Biden signed the #Inflation Reduction Act of 2022 into law. As with any new piece of legislation, there comes a wave of new questions and considerations. 

Here’s what you need to know today.",MIXED,NEUTRAL
Mexico–US Border,"Biden delivers half measure on the border wall., by 
 As much as we wanted it, they are not finishing the wall but fixing the mess Biden made by executive order. #Borderwall #illegalimmigrants",MIXED,RIGHT
Women’s Right,So.Met police were present and witnessed the law being broken on several occasions last Xmas but they won’t act unless there is a complaint. Really! Have I got that right? Were present and didn’t intervene to uphold the law yet piled in on a group of women holding a vigil? What?,LEFT,LEFT
Mexico–US Border,"During my border visit, it was apparent that we're grappling with a health, humanitarian, and national security crisis that warrants immediate action. However, I was grateful to hear from and thank 
 agents for their tireless work to make our country safer. #BidenBorderCrisis",LEFT,RIGHT
Women’s Right,I am afraid to say that this is wishful thinking. They are being polite. It’s also interesting that this person gives zero thought to the fact that many women would feel uncomfortable sharing intimate spaces with them. It’s all about the right to be accepted without question,CENTER,LEFT
Abortion,"If you don’t know God is pro-choice, then you don’t know God. Furthermore, He don’t know you and that is a BAD place to be in. Open your Bible and close off the misogyny.",LEFT,LEFT
Mexico–US Border,"The #BidenBorderCrisis is out of control. 

The left refuses to use successful Trump Admin policies, which would improve the crisis at the border today.

Put American's safety and security before leftist lunacy.",RIGHT,RIGHT
Black Lives Matter,"Thank you 
, 
, & 
 I am committed to helping create lasting change that results in ending racism and social injustice. #BeTheChange #BlackLivesMatter

I nominate",LEFT,LEFT
Women’s Right,"Call 
, 
, 
, and 
 and tell them we're counting on them to stand up for a woman’s right to terminate a pregnancy if she needs to. #ProChoice #RightToChoose",MIXED,LEFT
George Floyd,"Megan 
 urges fans to sign petition to have the police officers that murdered #GeorgeFloyd arrested and charged. #JusticeForGeorgeFloyd

Sign:",LEFT,LEFT
Women’s Right,"The Supreme Court has once again failed Texans. Today’s ruling means the state’s abortion ban stays in effect — ignoring the evidence of the ban’s cruelty. 
I support a women’s right to choose.",MIXED,LEFT
Mass Shootings,"Thank you to 
 for leading a talk with our year 6s in preparation for moving into secondary school. It was very informative and useful #police #crime #secondaryready #movingon",RIGHT,NEUTRAL
Mexico–US Border,"Opinionby 
Not surprisingly, Mayorkas blames President Trump for the #BorderCrisis. Spoken like a true liberal.

Personal responsibility has never been a big point on the liberal agenda.",LEFT,RIGHT
Mass Shootings,#ChildLabour is a #crime and it is the duty of each one of us to raise our voices against it to make this world a better place to live. #WorldAgainstChildLabourDay,MIXED,LEFT
Mass Shootings,"Presale available now-Lawrence Tierney
Hollywood’s Real-Life Tough Guy
Burt Kearns - check out my book blurb ! #WritingCommunity #burtkearns #lawrencetierney #actor #Hollywood #truestory #crime #queenofbail",MIXED,NEUTRAL
Abortion,"We should be raising $ for abortion funds, but if the Democratic Party is gonna use this crisis to raise funds, do NOT give any to anti-abortion Dems & do NOT ignore the local state races where we are holding the line & defending abortion rights.

We’ll be watching your receipts!",LEFT,LEFT
Mexico–US Border,Why can’t the media be the eyes and ears of the people? The administration cannot be allowed to continue to operate in secret. #BidenBorderCrisis,CENTER,RIGHT
Energy Crisis,"News: N.L. premier says province's offshore industry is an alternative to Russian fossil fuels ""We have right here what the world needs as well, and that is to relieve some of our NATO partners of the tyranny of Russia"" 

#NewfoundLand #Oil #BayDuNord",MIXED,NEUTRAL
Covid-19,"Here's what I'm coming to understand: for younger or healthier people, it's not so much that we are in danger of great harm from COVID-19. It's that if we get too many cases in America, hospitals won't have the resources to care for the most serious cases.",LEFT,LEFT
Mass Shootings,The Government has promised to put the needs and voices of victims “firmly at the heart of the justice system” under reforms announced today. #police #justice #victims #crime,RIGHT,NEUTRAL
Women’s Right,"Well, I, for one, have actual problems to worry about.

One of which is the way international human rights organisations are helping to bring down safeguarding principles and laws protecting women's rights.",MIXED,LEFT
George Floyd,"Drivers have hit U.S. protesters with their cars at least 66 times since #GeorgeFloyd was killed by police in May, 
 reports.

7 of the incidents have been by officers
About 24 cases have led to charges
At least 2 people have died",LEFT,LEFT
Energy Crisis,"Here's our estimate of #OPEC compliance inc. compensation, per secondary sources in this month's report

KSA undershoots quota again - as it has done every month of the deal

Only Iraq and Gabon have meaningful compensation left, and rising quotas will take care of Iraq's

#OOTT",LEFT,NEUTRAL
Women’s Right,"I think a fetus would probably want to not die. I dare talk about it because it’s a free country and we are allowed to debate human rights issues here. And this type of rant ignores, per usual, the tens of millions of American women who disagree w/ abortion on demand.",MIXED,RIGHT
Women’s Right,"Dear Women, 

You have the right to make a deeply personal decision about your pregnancy. Seek advice from your family, your partner, a doctor, a counselor, a spiritual guide, from within.

The government and political leaders have no right to tell you what you should do.",MIXED,LEFT
Russo-Ukrainian War,"What a Russia-Ukraine deal might look like, from 
:
- declares neutrality (no to NATO)
-agrees to no missiles on its territory (demilitarisation)
-agrees to protect Russian minorities (de-Nazification)
- accepts Russian sovereignty over Crimea
HT",MIXED,RIGHT
Women’s Right,"As Bible believing Christians we should never allow a small group of far right evangelicals to hijack our Faith. And, one more thing , you CAN be Christian and believe in a Woman’s right to choose and have agency over her own body. I just said what I said. I’m Woman Enough.",RIGHT,LEFT
Covid-19,"The COVID-19 pandemic is likely to expose one of the myths of 21st-c. America: that the nonprofit sector adequately provides services in an emergency. No. Nonprofits are a web of underfunded, independent orgs. We need gov't coordination, funding, + leadership. We don't have that.",LEFT,LEFT
Mass Shootings,"""Plot is excellent and would make an excellent movie"" THE HIT-AND-RUN MAN on #Kindle FREE to read at #KindleUnlimited IN PAPERBACK AND JUST OUT AUDIOBOOK #NextChapterPub #crimethrillers #crimefiction #mustread #pageturners #auduiobook #crime #action",MIXED,NEUTRAL
Women’s Right,"Amber Heard is part of the problem why women aren’t always believed. You don’t get to make up lies (which are being proved) - this takes away from the MeToo movement. You have “feminist” in your bio. You realize that feminism is equality for all, right Dr?",MIXED,RIGHT
Women’s Right,"White women are raised to run their own homes with ""Whites Only"" service while Black women raise their children and other chores 

Social engineering is far deeper than ""civil rights""",MIXED,LEFT
Abortion,"In light of 
’s “elect more Democrats to protect reproductive rights” pitch, her support for forced-birth proponent Henry Cuellar over pro-choice Jessica Cisneros in a recent primary that Cisneros definitely could have won isn’t getting nearly enough media attention.",RIGHT,LEFT
Energy Crisis,"Absorbing the price hike could be expensive for the government. ""We see no trend of oil price dropping at all. Our budget is limited, because we spent a lot in health care,"" Prayuth said.

Thailand keeps diesel price cap despite crude oil surge",LEFT,NEUTRAL
Women’s Right,"The Republican Right’s plans and persistence are really remarkable. They have been scheming since the 80’s and finally now have all their pieces in place. Control of most of the States, Voter suppression, stacked the courts, and now Womens’ rights.",MIXED,LEFT
Capitol Hill Riot,This is one week after the Capitol Police was complicit in the coup attempt by Trump's terrorists in the Capitol Hill which the whole world watched in horror & the only thought was why didn't anyone stop them? & why was it so different from BLM protests?,LEFT,LEFT
Russo-Ukrainian War,"ITALY SEIZES YACHT

Italian police have seized a yacht owned by #AlexeyMordashov, the richest man in Russia before being blacklisted this week by the European Union following Moscow's attack on #Ukraine

#YachtSeizure
#FCKOligarchs 
#FCKPutin

#MOG",CENTER,LEFT
Women’s Right,"Once again need to remind y'all that oppression isn't about hurt feelings it's about power and subjugation and trans women making fun of your facial hair is literally not oppression besties, what legal protections and human rights is it taking away? your right to a neckbeard ?",RIGHT,LEFT
Russo-Ukrainian War,"'He’s got a disaster on his hands': Expert says Putin could see Moscow fall within six months.

#PutinIsaWarCriminal #bernie2020 #ProgressiveAlliance #TrumpIsACriminal #AOC #Biden #BernieSanders #UkraineRussiaWar #UkraineWar #ReinstateTheFairnessDoctrine",RIGHT,NEUTRAL
Abortion,"Leah is an incredibly kind and generous person and her intent here is to help bring context to how one might be pro-life in a situation pro-choice people say requires an abortion

This response is so gross and cruel",LEFT,RIGHT
CHIPS and Science Act,"China has encroached on Canada’s critical minerals industry. Over the past five years fewer than 1 per cent have been subject to in-depth security reviews under section 25.3 of the National Security Act, and almost none were blocked. /via",RIGHT,RIGHT
George Floyd,"We showed up today! Y’all PULLED UP & represented today! We made a statement, they heard us.and we need to continue our strategic, peaceful movement towards change #blacklivesmatter #georgefloyd #NoJusticeNoPeace",LEFT,LEFT
Abortion,"Target Corp. and Sleep Number Corp., two of Minnesota's largest companies, joined the list of firms offering to cover employees' travel costs for ""reproductive services"" from states that ban abortion.",CENTER,NEUTRAL
Energy Crisis,"Reuters- Venezuela's oil exports fell 4% to 644,420 bpd in March as state-run oil company PDVSA dealt with crude cargoes returned by customers over poor oil quality. The Petromonagas upgraders continues offline #OOTT",CENTER,NEUTRAL
Energy Crisis,"""the British political establishment has drunk so deeply at the Net-Zero teat that even Ukraine might not force a fresh look at shale.""
#energycrisis 
#SackThemAll",RIGHT,RIGHT
Russo-Ukrainian War,"Not a day without Tucker Carlson on #Russia's state TV. Here's another clip being used by the Russians to promote their disinformation about #Ukraine allegedly creating ""bio-weapons"" in its lab. #TuckyoRose delivers again.",CENTER,LEFT
Women’s Right,"Day 92 of Taliban ban on girls returning to secondary school in Afghanistan. We want Education, Education is our Fundamental and Islamic Right.#PenPathGirlsEducampaign #PenPathVolunteer",MIXED,LEFT
CHIPS and Science Act,"Self-congratulations on climate aspects of IRA, but one look at heat wave in China shows change must be radical. Fossil fuel industry needs to be replaced within 20 years. Even that may be too late. Monied interests will fight hard, but Earth hurtling towards being uninhabitable",LEFT,LEFT
Mexico–US Border,"USA can’t support those entering our borders 

If 
 won’t admit we have a #BorderCrisis he sure won’t take responsibility for upcoming economic crisis he is putting us in with Anti- America Executive orders 

Video via 
 a great follow",RIGHT,RIGHT
Covid-19,US exporting COVID-19 to Central America through deportations will have same effect as exporting gangs the same way: create a vicious cycle of people fleeing a security crisis and being sent back to countries without the resources to combat it.,CENTER,LEFT
Mexico–US Border,"Hi 
 

Will this be open to the new #bidenmigrants ? 

Still waiting on you to address the #BorderCrisis 

Now that Trump is gone you seem pretty quiet over there bud",CENTER,RIGHT
Women’s Right,"MAGGIE HASSAN believes a woman’s right to bodily autonomy is foundational to everything else!

Every one of 
’s opponents will vote to criminalize abortion

We cannot give the GOP another YES vote or woman’s rights are gone

Re-elect Maggie to the Senate!
#DemVoice1",MIXED,LEFT
Russo-Ukrainian War,"The bombing of a hospital in the #UkraineWar is a war crime; but the US media responding with howls of outrage today responded with a yawn when the US bombed a hospital in Afghanistan; then they passed on the govt's lie that it was ""human error"" and quickly moved on.",RIGHT,LEFT
Russo-Ukrainian War,"So Russia is on the brink of invading Ukraine and the UK Defence minister is.on holiday.

This is almost physics.",CENTER,LEFT
Women’s Right,More like expect Fox News to play victim to justify right wingers terrorizing people who aren't raising a hand to them A woman was murdered just a few months ago at a rally in Portland allegedly by a right wing thug behind crap like this.,LEFT,LEFT
Mexico–US Border,"“Under Donald Trump, we had the most secure borders we had in America in decades,” 
 said.

Blaming former President Trump for the current #BorderCrisis is “absolutely ridiculous,” according to #LaraTrump.",RIGHT,RIGHT
Energy Crisis,"Saudi energy minister Prince Abdulaziz says the world needs to address energy security collectively. “It goes without saying, if the security of supply is impacted, it will impact our people and also the world economy” #OOTT #OPEC 
 #WGS2022",LEFT,NEUTRAL
Political Parties,"""There's no longer a split between Republicans and Democrats, it's between the haves and have-nots."" – 
, 10/18/2016

MSNBC knows what ""the establishment"" means. They'll act surprised when the have-nots stay home in November. 
 

Full:",LEFT,LEFT
Russo-Ukrainian War,"Well tomorrow is supposed to be the big day that Russia invades the Ukraine according to the US. If you believe anything the US says you're not nearly as smart as you think you are. This has been going on for 2 months. Imminent invasion, strong possibility,down to it may happen",CENTER,LEFT
Abortion,"Yes.
I am anti-abortion.

The rape of a child is not elective abortion. It is a serious health risk.

Health of the mother is not abortion.

Miscarriages are not abortion.

There is no need for ""wiggle room.""

Intentionally killing the child for convenience is unique.",MIXED,RIGHT
Abortion,"Abbott's extreme abortion ban seeks to control women 

We won't be controlled by any man

We’ll fight for independence & our future by voting for 
 

“Change is coming to Texas”

His name is Beto

#DemVoice1 #wtpBLUE",LEFT,LEFT
Energy Crisis,"ICYMI: Why the #RussiaUkraineConflict Matters to Us in the #US. 
 

#Russia #UkraineRussia #RussiaUkraine #RussiaUkraineCrisis #Biden #inflation #energy #oil #gasoline #RussiaUkraineWar #NATO #gas #BidenAdmin #USA",RIGHT,LEFT
Women’s Right,"We should pass a woman’s Heartbeat law.
If a woman has a heartbeat, you can't tell her what to do with her goddamn body, ever.

That’s fair, right?",MIXED,RIGHT
Abortion,"Are you pro-choice? 
 is and is looking to meet more awesome blue voices like yourself! We are all stronger together!",LEFT,LEFT
CHIPS and Science Act,"#GTVoice: While the US-Japan tech alliance may seem to promise technological gain on the surface, the Japanese semiconductor sector could suffer a fatal blow if Japan really swallows the poison pill of joining the US disruption to global industrial chain.",LEFT,NEUTRAL
Russo-Ukrainian War,"Something overlooked by many - Russian actions against Ukraine didn’t begin in 2021/22 but in 2014. And it had nothing to do with NATO. Ukraine wanted economic ties/a large trade deal with the E.U. and eventual membership, Russia has sought to stop this ever since",CENTER,LEFT
Mexico–US Border,"How long until the left can no longer prop up Joe Biden like weekend at Bernies? I say two years. It’s going to be a good show, with many horrible policies, but definitely a circus.#Biden #BidenBorderCrisis #JoeBiden #PresidentBiden #presidenthouseplant",LEFT,RIGHT
Abortion,"""I believe your colleague asked me about this a couple days ago,"" 
 tells 
 regarding Biden's planned nomination of an anti-abortion judge in Ky.

Actually: My colleague was asking about NEW 
 comments today calling on Biden to rescind the pick.",LEFT,LEFT
Russo-Ukrainian War,BREAKING: Widespread calls grow to eject Russia from the UN's Human Rights Council as Vladimir Putin continues to wage an indiscriminate war of terror and civilian slaughter on the innocent people of Ukraine. RT IF YOU THINK RUSSIA MUST BE EJECTED!,RIGHT,LEFT
Black Lives Matter,"We have a problem when ppl care more about stores being looted than a dead black boy. Enough talk, more action. #BlackLivesMatter",LEFT,LEFT
Russo-Ukrainian War,"Speaking of #CrimesAgainstHumanity #Mariupol a city and port located at #Azov sea of ~450k people, is being razed to the ground by #Russian troops. History’s books are as black as death itself.
#Ukraine️ #UkraineWar #UkraineRussiaWar #StandWithUkraine #StopRussia #StopPutin",RIGHT,LEFT
George Floyd,"Minneapolis is my home city. My heart hurts for #GeorgeFloyd, what reason could you possibly have to kneel on someone's neck? Especially when they weren't being violent or even accused of a violent crime.

He was black, it's evident in this country that's a death sentence.",MIXED,LEFT
Russo-Ukrainian War,"The biggest ally Russia has in the World is the UK — by a distance.

This isn’t hyperbole, this is simple fact.

And the most active Russian allies within the government, are likely the members of the ERG.

Brexit was the prelude to the Ukraine crisis and Brexiters are complicit",MIXED,LEFT
Women’s Right,"The republicans will primary anyone who will vote for any gun control and anyone who is pro choice

Gee Maybe the democrats should primary a few people because they wont vote for gun control and they wont support a woman’s right to choose",MIXED,LEFT
Women’s Right,"Deeply saddened to hear that South African clergyman & human rights activist #DesmondTutu has passed away aged 90. 

Amongst other things, Desmond was a staunch supporter of women’s rights. #RIP",MIXED,LEFT
Abortion,"God, wanting to repeal Lawrence or Griswold is so insane. Disagree with repealing Roe but can kind of see my way to understanding a pro-life postion. But wanting to regulate what consenting adults do in private? What the fuck is wrong with you? You fucking psycho busybodies.",MIXED,LEFT
Russo-Ukrainian War,Levelling-up' is a scam. Cancelling #Netflix will not make a difference when inflation is at a 30-year high. The #UkraineWar is a distraction and just more US imperialism. Don't be fooled!,LEFT,LEFT
Abortion,"New: Texas can enforce its pre-Roe abortion ban, the state Supreme Court ruled on Friday. The decision exposes abortion providers to fines and lawsuits but does not permit prosecutors to bring criminal cases against providers.",MIXED,NEUTRAL
Russo-Ukrainian War,"Will join 
 and 
 on 
 at 9: 35 PM EST for an exclusive strategic discussion of the #UkraineWar: The Russian plan, economy, Kiev, finances, China, the #IranDeal & the Middle East, Putin's leadership. Also the US public knowledge about the war.",CENTER,NEUTRAL
Black Lives Matter,"""A white girl had to die for people to pay attention': Heather Heyer's mother on hate in the US"" #BlackLivesMatter",LEFT,LEFT
Women’s Right,"Dozens of women demonstrated in Kabul this morning in response to recent decisions by the Taliban. They ask the Taliban to have the right to work and study, under the slogan ""Freedom, work and food"". #Afghanistan #AfghanistanWomen",MIXED,LEFT
